stop_id,lat,lon,ward,is_existing_stop,nearest_node_degree,road_type,distance_to_major_road,distance_to_nearest_stop,stops_within_500m,stops_within_1km,pop_not_served_nearby,poverty_rate_weighted_pop,route_count_serving,trips_per_day,avg_headway_minutes,service_span_hours,routes_within_500m,avg_speed_daily,avg_speed_peak,avg_speed_offpeak,congestion_pct_daily,congestion_pct_peak,trip_count_daily,trip_count_peak,demand_variability_cv,dominant_congestion_level,ward_pct_access,ward_population,ward_poverty_rate,is_benchmark_ward,ward_category,distance_to_cbd,coverage_efficiency_nearby,demand_supply_ratio,network_accessibility,is_good_stop,pop_within_500m,subcounty_gini,trips_per_1k_pop_per_hour,pop_score,coverage_score,access_score,poverty_score,quality_score,gnn_probability,gnn_prediction,confidence
CANDIDATE_Nairobi West Ward_16,-1.307745321185657,36.83646157429048,Nairobi West Ward,False,2,residential,473.7885039464883,309.0101547665439,27,80,9939,1107.4331345036017,0,0,,0,4,17.243300893072206,11.884733802396095,20.1012033414328,63.47116048203005,93.75,190,84.0,0.5831369347890785,congested,56.79149445936021,76676.38743229359,12.7,False,underserved,3.196618924612189,0.7011295612266693,8719.0,0.0042124019081671,0,8719,0.348155049984002,18.15421991847434,0.06465558793649381,0.005758987412321873,0.9708865052028706,0.05423029221814396,0.22909256211505621,0.9657657,1,0.9315314
CANDIDATE_Gatina Ward_15,-1.2914907136092837,36.7413765742258,Gatina Ward,False,2,residential,153.0161315846751,328.0723264873372,14,62,6063,3037.154756927026,0,0,,0,5,16.699138772601074,11.303737458124182,19.57668614032208,68.12864671560324,95.45454545454544,134,49.0,0.5466091380314718,congested,55.98639000937479,45919.74288559071,12.7,False,underserved,8.448032752432594,0.8886728572916633,23914.0,0.0129856527327492,0,23914,0.0885442239001563,2.613255050207503,0.1773338375861123,0.007636785576185799,0.9690905563362886,0.15316985290380677,0.2884281213972048,0.9609632,1,0.9219264
CANDIDATE_Pipeline Ward_8,-1.3124164860338088,36.90243017513503,Pipeline Ward,False,8,residential,900.6391217095819,323.56178155764906,9,35,4759,688.1241032945147,0,0,,0,1,17.95428871024195,11.727983489233942,21.06744132074596,57.05751424501424,91.34615384615384,157,71.0,0.491454884675341,congested,60.39700177501157,40062.52343641133,13.8,False,underserved,9.906528560401052,1.677694493750321,4986.0,0.0088727294627936,0,4986,0.2682490623582934,34.44615769624161,0.036973593468443415,0.015536952691077039,0.9695155188312652,0.03273172431213803,0.21727444451540512,0.92531765,1,0.8506353
CANDIDATE_Ngando Ward_4,-1.291000755881557,36.741206809331125,Ngando Ward,False,2,residential,136.6478025289864,330.218459878264,14,61,2979,1287.4420267405085,0,0,,0,6,16.699138772601074,11.303737458124182,19.57668614032208,68.12864671560324,95.45454545454544,134,49.0,0.5466091380314718,congested,64.55544213237266,28020.643468093764,18.5,False,underserved,8.463395659541593,1.0412168085866558,6959.0,0.0145298360253795,0,6959,0.1996750767775023,17.558483286089597,0.051604339540091804,0.00916414889793853,0.9688883576630511,0.06345960307338838,0.22682214821080468,0.92438793,1,0.84877586
CANDIDATE_Upper Savanna Ward_26,-1.2778328873777869,36.91257952665373,Upper Savanna Ward,False,2,residential,425.9173770438336,300.44380771656955,30,83,2569,969.351607954276,0,0,,0,9,18.054313199966053,11.514724616707694,21.324107491595232,57.35551818750744,93.22916666666669,394,160.0,0.5289229448015942,congested,62.13610462916318,22624.40132520788,7.2,False,underserved,10.645771693070929,0.7397155312995617,13463.0,0.0046847472310658,0,13463,0.4401639794947514,17.503225579665653,0.09983463475043196,0.006145333740204879,0.9716935864473631,0.0471506567842833,0.2402473042440317,0.90629953,1,0.81259906
CANDIDATE_Nairobi West Ward_7,-1.301923041763003,36.79613161424156,Nairobi West Ward,False,2,residential,297.7524461849446,345.8156647886165,10,46,9939,1107.4331345036017,0,0,,0,8,23.69082151948292,15.855059154149329,27.60870270214972,39.54778439153439,86.71875,289,121.0,0.4857290005023328,congested,56.79149445936021,76676.38743229359,12.7,False,underserved,2.909432368134324,1.2083296693480896,8719.0,0.0066945058543952,0,8719,0.348155049984002,18.15421991847434,0.06465558793649381,0.010837385050230094,0.9674188618002035,0.05423029221814396,0.22966863284399985,0.8858372,1,0.7716744
CANDIDATE_Imara Daima Ward_25,-1.3159209512433248,36.89958908250612,Imara Daima Ward,False,2,residential,433.2384606164952,415.2494664144315,14,57,8991,2562.801079728265,0,0,,0,5,17.95428871024195,11.727983489233942,21.06744132074596,57.05751424501424,91.34615384615384,157,71.0,0.491454884675341,congested,67.61809525092917,92557.21147751193,13.8,False,underserved,9.729363694544949,1.1658292284642962,18571.0,0.004605764300934,0,18571,0.2682490623582934,5.704579811463799,0.13771291702817143,0.010411844646869917,0.9608771330214025,0.1288490680370577,0.26874772233326955,0.80255413,1,0.60510826
CANDIDATE_Pipeline Ward_3,-1.3189712776407116,36.90133238752177,Pipeline Ward,False,2,residential,438.3945646016866,402.0952705456109,12,51,4759,688.1241032945147,0,0,,0,9,17.95428871024195,11.727983489233942,21.06744132074596,57.05751424501424,91.34615384615384,157,71.0,0.491454884675341,congested,60.39700177501157,40062.52343641133,13.8,False,underserved,10.029442267207417,1.161480803365607,4986.0,0.0045517176613529,0,4986,0.2682490623582934,34.44615769624161,0.036973593468443415,0.010368305555698199,0.9621164599725723,0.03273172431213803,0.21450247095982183,0.7866758,1,0.5733516
CANDIDATE_Airbase Ward_4,-1.2810413913991752,36.84171959730968,Airbase Ward,False,6,unclassified,281.3069859920994,322.1373568575194,8,38,17075,1530.534366496874,0,0,,0,4,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,46.01546587417469,105433.25515722662,9.3,False,severely_underserved,2.7901366060081383,1.1798837403634537,16457.0,0.021253459169331,0,16457,0.2187157501793953,11.040159940658125,0.1220365879884022,0.010552567014408426,0.9696497214794838,0.07592329162932626,0.2544655501713049,0.77185345,1,0.5437069
CANDIDATE_Roysambu Ward_16,-1.256028586540997,36.82279295450312,Roysambu Ward,False,4,residential,390.28327174750495,368.2233159599818,4,45,15669,483.239781975182,0,0,,0,5,17.684657596250318,11.666697525521228,20.693637631614862,60.45883468467407,92.24137931034484,543,224.0,0.490429447437139,congested,52.55807786151991,110098.7167953836,12.5,False,underserved,3.4339047565702225,1.1425669100330416,3865.0,0.0102227728319068,0,3865,0.140004148607421,20.27271584053182,0.02866083809778055,0.010178928089712418,0.9653077174713504,0.022227014976261075,0.21008297184617358,0.71079034,1,0.42158067
